MiB Mem :   1827.1 total,   1632.9 free,    135.2 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.7 free,    137.4 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.3 free,    136.8 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1632.3 free,    135.8 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.3 free,    136.8 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1628.5 free,    139.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1635.0 free,    133.1 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1635.8 free,    132.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1637.5 free,    130.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1634.5 free,    133.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1629.3 free,    138.8 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.3 free,    137.8 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.3 free,    136.8 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1626.4 free,    141.7 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1627.5 free,    140.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1629.0 free,    139.1 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1633.1 free,    135.0 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.5 free,    136.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1633.1 free,    135.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1636.0 free,    132.1 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1635.2 free,    132.9 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1637.1 free,    131.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1630.7 free,    137.2 used,     59.1 buff/cache
MiB Mem :   1827.1 total,   1631.4 free,    136.5 used,     59.2 buff/cache
MiB Mem :   1827.1 total,   1632.4 free,    135.5 used,     59.2 buff/cache
MiB Mem :   1827.1 total,   1629.2 free,    138.7 used,     59.2 buff/cache
MiB Mem :   1827.1 total,   1629.9 free,    138.0 used,     59.2 buff/cache
MiB Mem :   1827.1 total,   1630.7 free,    137.2 used,     59.2 buff/cache
MiB Mem :   1827.1 total,   1634.3 free,    133.6 used,     59.2 buff/cache
MiB Mem :   1827.1 total,   1627.7 free,    140.2 used,     59.2 buff/cache
